#histogram type: discrete-time histogram
#waitingTimePerCustomer
#lowerBound ; upperBound ; relative frequency
0,0;100,0;0,011001100110011002
100,0;200,0;0,011001100110011002
200,0;300,0;0,011001100110011002
300,0;400,0;0,011001100110011002
400,0;500,0;0,011001100110011002
500,0;600,0;0,011001100110011002
600,0;700,0;0,011001100110011002
700,0;800,0;0,011001100110011002
800,0;900,0;0,011001100110011002
900,0;1000,0;0,011001100110011002
1000,0;1100,0;0,011001100110011002
1100,0;1200,0;0,011001100110011002
1200,0;1300,0;0,011001100110011002
1300,0;1400,0;0,011001100110011002
1400,0;1500,0;0,011001100110011002
1500,0;1600,0;0,011001100110011002
1600,0;1700,0;0,011001100110011002
1700,0;1800,0;0,011001100110011002
1800,0;1900,0;0,011001100110011002
1900,0;2000,0;0,011001100110011002
2000,0;2100,0;0,011001100110011002
2100,0;2200,0;0,011001100110011002
2200,0;2300,0;0,011001100110011002
2300,0;2400,0;0,011001100110011002
2400,0;2500,0;0,011001100110011002
2500,0;2600,0;0,011001100110011002
2600,0;2700,0;0,011001100110011002
2700,0;2800,0;0,011001100110011002
2800,0;2900,0;0,011001100110011002
2900,0;3000,0;0,011001100110011002
3000,0;3100,0;0,011001100110011002
3100,0;3200,0;0,011001100110011002
3200,0;3300,0;0,011001100110011002
3300,0;3400,0;0,011001100110011002
3400,0;3500,0;0,011001100110011002
3500,0;3600,0;0,011001100110011002
3600,0;3700,0;0,011001100110011002
3700,0;3800,0;0,011001100110011002
3800,0;3900,0;0,011001100110011002
3900,0;4000,0;0,011001100110011002
4000,0;4100,0;0,011001100110011002
4100,0;4200,0;0,011001100110011002
4200,0;4300,0;0,011001100110011002
4300,0;4400,0;0,011001100110011002
4400,0;4500,0;0,011001100110011002
4500,0;4600,0;0,011001100110011002
4600,0;4700,0;0,011001100110011002
4700,0;4800,0;0,011001100110011002
4800,0;4900,0;0,011001100110011002
4900,0;5000,0;0,011001100110011002
5000,0;5100,0;0,011001100110011002
5100,0;5200,0;0,011001100110011002
5200,0;5300,0;0,011001100110011002
5300,0;5400,0;0,011001100110011002
5400,0;5500,0;0,011001100110011002
5500,0;5600,0;0,011001100110011002
5600,0;5700,0;0,011001100110011002
5700,0;5800,0;0,011001100110011002
5800,0;5900,0;0,011001100110011002
5900,0;6000,0;0,011001100110011002
6000,0;6100,0;0,011001100110011002
6100,0;6200,0;0,011001100110011002
6200,0;6300,0;0,011001100110011002
6300,0;6400,0;0,011001100110011002
6400,0;6500,0;0,011001100110011002
6500,0;6600,0;0,011001100110011002
6600,0;6700,0;0,011001100110011002
6700,0;6800,0;0,011001100110011002
6800,0;6900,0;0,011001100110011002
6900,0;7000,0;0,011001100110011002
7000,0;7100,0;0,011001100110011002
7100,0;7200,0;0,011001100110011002
7200,0;7300,0;0,011001100110011002
7300,0;7400,0;0,011001100110011002
7400,0;7500,0;0,011001100110011002
7500,0;7600,0;0,011001100110011002
7600,0;7700,0;0,011001100110011002
7700,0;7800,0;0,011001100110011002
7800,0;7900,0;0,011001100110011002
7900,0;8000,0;0,011001100110011002
8000,0;8100,0;0,011001100110011002
8100,0;8200,0;0,011001100110011002
8200,0;8300,0;0,011001100110011002
8300,0;8400,0;0,011001100110011002
8400,0;8500,0;0,011001100110011002
8500,0;8600,0;0,011001100110011002
8600,0;8700,0;0,011001100110011002
8700,0;8800,0;0,011001100110011002
8800,0;8900,0;0,011001100110011002
8900,0;9000,0;0,011001100110011002
9000,0;9100,0;0,009900990099009901
9100,0;9200,0;0,0
9200,0;9300,0;0,0
9300,0;9400,0;0,0
9400,0;9500,0;0,0
9500,0;9600,0;0,0
9600,0;9700,0;0,0
9700,0;9800,0;0,0
9800,0;9900,0;0,0
9900,0;10000,0;0,0
