#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,36547091955061595
1,0;2,0;1,5059787355802535E-4
2,0;3,0;2,4095659769284058E-4
3,0;4,0;3,011957471160507E-4
4,0;5,0;4,21674045962471E-4
5,0;6,0;3,915544712508659E-4
6,0;7,0;1,8071744826963042E-4
7,0;8,0;1,8071744826963042E-4
8,0;9,0;3,6143489653926085E-4
9,0;10,0;9,035872413481521E-5
10,0;11,0;1,5059787355802535E-4
11,0;12,0;3,011957471160507E-4
12,0;13,0;2,108370229812355E-4
13,0;14,0;1,8071744826963042E-4
14,0;15,0;1,2047829884642029E-4
15,0;16,0;2,4095659769284058E-4
16,0;17,0;2,108370229812355E-4
17,0;18,0;1,5059787355802535E-4
18,0;19,0;2,108370229812355E-4
19,0;20,0;2,4095659769284058E-4
20,0;21,0;1,5059787355802535E-4
21,0;22,0;9,035872413481521E-5
22,0;23,0;1,2047829884642029E-4
23,0;24,0;1,5059787355802535E-4
24,0;25,0;3,6143489653926085E-4
25,0;26,0;3,011957471160507E-4
26,0;27,0;2,4095659769284058E-4
27,0;28,0;1,2047829884642029E-4
28,0;29,0;4,21674045962471E-4
29,0;30,0;3,313153218276558E-4
30,0;31,0;1,5059787355802535E-4
31,0;32,0;2,710761724044456E-4
32,0;33,0;2,710761724044456E-4
33,0;34,0;2,108370229812355E-4
34,0;35,0;2,108370229812355E-4
35,0;36,0;2,710761724044456E-4
36,0;37,0;1,2047829884642029E-4
37,0;38,0;2,108370229812355E-4
38,0;39,0;2,108370229812355E-4
39,0;40,0;1,2047829884642029E-4
40,0;41,0;1,8071744826963042E-4
41,0;42,0;9,035872413481521E-5
42,0;43,0;2,108370229812355E-4
43,0;44,0;1,2047829884642029E-4
44,0;45,0;1,5059787355802535E-4
45,0;46,0;4,8191319538568115E-4
46,0;47,0;3,313153218276558E-4
47,0;48,0;1,8071744826963042E-4
48,0;49,0;1,2047829884642029E-4
49,0;50,0;1,8071744826963042E-4
50,0;51,0;2,4095659769284058E-4
51,0;52,0;1,2047829884642029E-4
52,0;53,0;2,4095659769284058E-4
53,0;54,0;3,313153218276558E-4
54,0;55,0;4,517936206740761E-4
55,0;56,0;9,035872413481521E-5
56,0;57,0;2,108370229812355E-4
57,0;58,0;3,313153218276558E-4
58,0;59,0;3,011957471160507E-4
59,0;60,0;1,2047829884642029E-4
60,0;61,0;3,011957471160507E-4
61,0;62,0;3,011957471160507E-4
62,0;63,0;1,2047829884642029E-4
63,0;64,0;1,8071744826963042E-4
64,0;65,0;2,4095659769284058E-4
65,0;66,0;3,011957471160507E-4
66,0;67,0;6,0239149423210144E-5
67,0;68,0;2,710761724044456E-4
68,0;69,0;1,8071744826963042E-4
69,0;70,0;2,108370229812355E-4
70,0;71,0;1,8071744826963042E-4
71,0;72,0;1,8071744826963042E-4
72,0;73,0;3,313153218276558E-4
73,0;74,0;4,517936206740761E-4
74,0;75,0;2,710761724044456E-4
75,0;76,0;2,4095659769284058E-4
76,0;77,0;3,0119574711605072E-5
77,0;78,0;3,313153218276558E-4
78,0;79,0;2,108370229812355E-4
79,0;80,0;0,6169693683925183
